starttime	seconds	ctime	dtime	ttime	wait
Fri Nov 12 17:01:50 2021	1636707710	0	148	149	147
Fri Nov 12 17:01:49 2021	1636707709	0	149	149	148
Fri Nov 12 17:01:43 2021	1636707703	0	151	151	146
Fri Nov 12 17:01:40 2021	1636707700	0	153	153	152
Fri Nov 12 17:01:49 2021	1636707709	0	153	153	152
Fri Nov 12 17:01:36 2021	1636707696	0	153	153	153
Fri Nov 12 17:01:32 2021	1636707692	6	150	155	148
Fri Nov 12 17:01:49 2021	1636707709	0	161	161	160
Fri Nov 12 17:01:38 2021	1636707698	0	163	163	163
Fri Nov 12 17:01:35 2021	1636707695	0	165	165	164
Fri Nov 12 17:01:51 2021	1636707711	0	171	171	170
Fri Nov 12 17:01:34 2021	1636707694	0	171	172	171
Fri Nov 12 17:01:32 2021	1636707692	5	166	172	166
Fri Nov 12 17:01:45 2021	1636707705	0	189	189	188
Fri Nov 12 17:01:34 2021	1636707694	0	192	192	76
Fri Nov 12 17:01:51 2021	1636707711	0	195	195	179
Fri Nov 12 17:01:45 2021	1636707705	0	195	195	195
Fri Nov 12 17:01:43 2021	1636707703	0	195	195	195
Fri Nov 12 17:01:48 2021	1636707708	0	196	196	195
Fri Nov 12 17:01:35 2021	1636707695	0	196	196	195
Fri Nov 12 17:01:38 2021	1636707698	0	200	200	199
Fri Nov 12 17:01:32 2021	1636707692	6	194	201	194
Fri Nov 12 17:01:48 2021	1636707708	0	202	202	199
Fri Nov 12 17:01:43 2021	1636707703	0	204	204	203
Fri Nov 12 17:01:36 2021	1636707696	0	206	206	205
Fri Nov 12 17:01:45 2021	1636707705	0	206	206	206
Fri Nov 12 17:01:45 2021	1636707705	0	207	207	207
Fri Nov 12 17:01:44 2021	1636707704	0	209	209	208
Fri Nov 12 17:01:37 2021	1636707697	0	211	211	210
Fri Nov 12 17:01:40 2021	1636707700	0	211	211	211
Fri Nov 12 17:01:35 2021	1636707695	0	216	216	215
Fri Nov 12 17:01:47 2021	1636707707	0	218	218	217
Fri Nov 12 17:01:38 2021	1636707698	0	219	219	218
Fri Nov 12 17:01:36 2021	1636707696	0	219	220	219
Fri Nov 12 17:01:38 2021	1636707698	0	221	221	221
Fri Nov 12 17:01:35 2021	1636707695	0	222	222	222
Fri Nov 12 17:01:47 2021	1636707707	0	224	224	223
Fri Nov 12 17:01:50 2021	1636707710	0	226	226	226
Fri Nov 12 17:01:50 2021	1636707710	0	227	227	226
Fri Nov 12 17:01:47 2021	1636707707	0	230	230	230
Fri Nov 12 17:01:43 2021	1636707703	0	231	231	230
Fri Nov 12 17:01:40 2021	1636707700	0	232	232	221
Fri Nov 12 17:01:48 2021	1636707708	0	232	232	232
Fri Nov 12 17:01:45 2021	1636707705	0	232	232	232
Fri Nov 12 17:01:51 2021	1636707711	0	233	233	233
Fri Nov 12 17:01:45 2021	1636707705	0	236	236	235
